Idiom,Meaning,Examples,Type,,,,
in the same breath, stated or said almost at the same time.,"He told me I was lazy, but then in the same breath he said I was doing a good job.  The teacher said that the students were working hard and, in the same breath, that they were not working hard enough.",Figurative,,,,
in the second place,secondly,"In the first place, you don’t have enough money to buy one. In the second place, you don’t need one.  In the first place, I don’t have the time. In the second place, I’m not interested.",General,,,,
in the soup, in a bad situationTypically: be ~,I make a lot of mistakes. It’s easy for me to get into the soup.,Figurative,,,,
in the swim of things, involved in or participating in events or happeningsTypically: be ~,"I’ve been ill, but soon I’ll be back in the swim of things.  I can’t wait to settle down and get into the swim of things.",Figurative,,,,
in the trust of someone,under the responsibility or in the care of someoneTypically: be ~,The state placed the orphan in the trust of the foster parents.  Our bonds are left in the trust of our broker.,General,,,,
in the very nick of time, just in time,I reached the airport in the very nick of time and made my f light.,Figurative,, happen ~, reach something ~, save someone ~. 
in the wake of something, after something,"We had no place to live in the wake of the fire.  In the wake of the storm, there were many broken tree limbs.",Figurative,,,,
in the way of something,as a kind of something,What do you have in the way of dress shoes  We have nothing in the way of raincoats.,General,,,,
in the wind, about to happen,There is something in the wind. We’ll find out what it is soon.,Figurative,,,,
in the works, being prepared,There are some new laws in the works that will affect all of us.  I have some ideas in the works that you might be interested in.,Figurative,,,,
in the worst way, very much.,I want a new car in the worst way.  Bob wants to retire in the worst way.,Figurative,,,,
in the wrong,wrong,"No, you are in the wrong.",General,,,,
in the wrong place at the wrong time,in the location where something bad is to happen exactly when it happens.,I always get into trouble. I’m just in the wrong place at the wrong time.  It’s isn’t my fault. I was just in the wrong place at the wrong time.,General,,,,
in theory,according to a theory,,General,,,,
in there, sincere,Martha is really in there. Everybody likes her.  I like a guy who’s in there—who thinks about other people.,General,,,,
in there pitching, trying very hard.,Bob is always in there pitching.  Just stay in there pitching. You’ll make some progress eventually.,Figurative,,,,
in these parts, around here,There aren’t any big hospitals in these parts.  Joe’s the richest man in these parts.,General,,,,
the in thing to do,the fashionable thing to do.,Eating low-fat food is the in thing to do.  Bob is very oldfashioned. He never does the in thing.,General,,,,
in this day and age, now,Bill: Ted f lunked out of school. Mother: Imagine that! Especially in this day and age.  Bill: Taxes keep going up and up. Bob: What do you expect in this day and age,Figurative,,,,
in those parts, around there,I’ve got a cousin who lives in those parts.  We used to spend our vacations in those parts.,General,,,,
in times past, long ago,"In times past, the air always seemed fresher and cleaner.",Figurative,,,,
in top form, of someone or some creature in very good physical condition.,"The runners are in top form, so this should be a good race.  I’m not in top form, but I’m not completely out of shape either. 2. able to make witty remarks and clever statements quickly and easily.  That was really funny, Bob. You are in top form tonight.  The president was in top form and entertained the audience with her speech.",General,,,,
in touch with someone,  in contact with someone by letter or telephoneTypically: be ~,"I tried to get in touch with her, but she never answered her phone.  I just couldn’t seem to get in touch. 2. Fig. of oneself having self-knowledge. Typically: be ~; get ~.  I need to get in touch with myself and the way I really feel about things.  She needs to try more to be in touch with herself and her feelings.",Figurative,,,,
in touch with someone or something,  in communication with someone or a groupTypically: be ~,"Are you in touch with your brother, or have you two grown apart  I am in touch with the person whom you asked about. 2. Fig. sympathetic or sensitive to someone or something; having good contact or rapport with someone or something. Typically: be ~; get ~. _We talk to each other, but we’re not really in touch with each other.",Figurative,,,,
in tow,closely following,The nanny walked into the park with three children in tow.  The manager went to the meeting with her staff in tow.,General,,,,
in transit,while in the process of being transported.,Dave is in transit from London to Chicago. _The new stereo is now in transit from the manufacturer.,General,,,,
in triplicate,of a document produced in three copies.,Mr. Smith asked me to copy his notes in triplicate.  I completed each form in triplicate.,General,,,,
in trouble, in danger,"If you don’t be quiet, you’re going to be in trouble.  The company was in trouble for months, and then went bankrupt. 2. Euph. pregnant and unmarried. Typically: be ~; get into ~. _They had to get married. She was in trouble. _She’ll be in trouble before long, if she doesn’t quit running around like that.",General,,,,
in tune,in a state where musical notes are at their proper intervals so that none are flat or sharp.,Your piano is in tune.  The choir members all sang in tune.,General,,,,
in tune with someone or something, in musical harmony with someone or somethingTypically: be ~,Bill is just not in tune with the company’s policies.,Literal,,,,
in tune with the times, up-to-date,,Figurative,,,,
in turn,in the appropriate point in the series or order,Someone has to wash the dishes after every meal. All of us will have to do it in turn.  All three of them shared the task of carrying water in turn.,General,,,,
in two shakes of a lamb’s tail, in a very short time,Mike was able to solve the problem in two shakes of a lamb’s tail.,Figurative,,,,
in unison,"of musical notes, instruments, or voices having the same pitch.",This part of the piece is performed in unison.  The twins sang in unison.,General,,,,
in use,of some facility or device occupied or busy.,"Sorry, this room is in use.  How long will it be in use",General,,,,
in vain,for no purpose,"They rushed her to the hospital, but they did it in vain.  We tried in vain to get her there on time.",General,,,,
in view of something,in consideration of something,"In view of the high cost of gasoline, I sold my car.  I won’t invite John to the meeting in view of his attitude.",General,,,,
in vogue,fashionable,,General,,,,
in writing,in written form rather that spokenTypically: get something ~,Be sure to get their salary offer in writing.,General,,,,
inaugurate someone as something,to install or introduce someone as something.,The club inaugurated Amy as the new president.  We will inaugurate Ken as vice president.,General,,,,
incapacitate someone for something for a period of time,to make someone physically unfit for doing something for a period of time.,The accident incapacitated Rick for further work for a year.  Sam’s carelessness incapacitated Frank for a month.,General,,,,
incarcerate someone in something,to imprison someone in something,He had wanted to incarcerate Max in the jail too.,General,,,,
inch along something,to move slowly along something little by little.,The cat inched along the carpet toward the mouse.  Traffic was inching along.,General,,,,
inch back,to move back very slowly.,The trainer inched back from the angry tiger.  The tiger inched back and sprang.,General,,,,
inch by inch, one inch at a time,"Inch by inch, the snail moved across the stone.",Figurative,,,,
inch forward,to move forward very slowly.,"Inch forward very slowly, and try not to make any noise.  The cat inched forward, taking care not to alert the bird to its presence.",General,,,,
inch over,to move over a tiny bit.,Could you inch over a little I need just a little more room.  Please inch over a little.,General,,,,
incite someone to something,to excite or provoke someone to something,,General,,,,
incline away from someone or something,to lean or slope away from someone or something,The land inclined away from the house.,General,,,,
incline forward,to lean forward,My chair inclined forward and I kept feeling as if I were going to fall off.,General,,,,
incline something forward,to lean something forward,The fence had been inclined slightly forward to make it harder to climb.,General,,,,
incline toward someone or something, to lean or slant toward someone or something.,The piece of scenery inclined toward Roger very slowly and he jumped out of the way just in time.  The tree inclined toward the direction of the wind. 2. to favor or “lean” toward choosing someone or something. _I don’t know which to choose. I incline toward Terri but I also favor Amy.  I’m inclining toward chocolate.,General,,,,
inclined to do something,to tend to do something,Tom is inclined to tell jokes when he is with a group of people.  I’m inclined to go to the beach tomorrow if it doesn’t rain.,General,,,,
include someone in something,to invite someone to participate in something,"Without asking, Henry included himself in the group going on a picnic.",General,,,,
include someone or something among something,to count someone or something as a member of a group or collection.,I am happy to include you among my friends.  Do you include chocolate among your favorite f lavors,General,,,,
include someone out of something, to exclude someone from somethingJocular.,I’m not interested in your games. Include me out of them.  Include me out too.,Figurative,,,,
incorporate someone or something into something,to build someone or something into something,We want to incorporate you into our sales force very soon. _The prince had incorporated himself into the main governing body.,General,,,,
increase by leaps and bounds, to increase or grow by large increments,,Figurative,,,,
increase in something,to grow or expand in some quality,,General,,,,
increase something by something,to enlarge something by an amount or degree,The engine size on the new model has been increased by a small amount.,General,,,,
increase something from something to something,to enlarge something from something to something bigger,We plan to increase sales from four million to six million dollars.  I increased my bid to two thousand from one thousand.,General,,,,
increment something by something,to increase a sum by a supplement of a certain figure.,"Increment the numbering by ten so that 1, 2, 3 becomes 10, 20, 30.  The base number was incremented by 4.",General,,,,
inculcate someone with something,to touch or impress someone with some specific knowledge.,The teacher sought to inculcate the students with the knowledge they needed.  Her parents inculcated her with good manners.,General,,,,
inculcate something into someone,to instill specific knowledge into someone,We tried to inculcate good morals into our students.,General,,,,
incumbent upon someone to do something,obligatory for someone to do something.,It is incumbent upon me to inform you that you are up for review.  It was incumbent on Mary to mail her application before June 1st.,General,,,,
indemnify someone or something against something,"to agree to protect someone or something against something, such as damage or a lawsuit.",Their employer indemnified them against legal action. _We indemnified the publisher against legal trouble.,General,,,,
indicate something to someone,"to signify something to someoneBy speech, writing, or some other sign.",Karen indicated her agreement to the lawyer.  Fred indicated his assent to me.,General,,,,
indict someone for something,for a legal body to arraign someone for a crime or name someone formally as the one accused of a crime,Then they indicted Max for grand larceny.,General,,,,
indoctrinate someone into something,to teach someone the ways of a group or some activity.,The staff sought to indoctrinate Walter into the ways of office procedure.  Todd indoctrinated Ken into camp life.,General,,,,
indoctrinate someone with something,to teach someone the official or fundamental knowledge about something,,General,,,,
induce labor in someone,to cause the onset of childbirth in a mother-to-be.,They decided to induce labor in the mother-to-be.  They decided not to induce labor in Alice.,General,,,,
induct someone into something, to conscript someone into the armed services,They inducted Wally into the army in a little ceremony. 2. to draft someone into something.  They inducted a number of new members into the group. 3. to install someone in an office or position.  They inducted her into the presidency.  The college inducted a new president into office last week.,General,,,,
indulge in something, to take pleasure in doing something,"No, I don’t indulge in contact sports anymore. _We don’t indulge in strenuous activity. 2. to choose to eat a certain food or drink something, usually alcohol.  I don’t usually indulge in hard spirits, but just this once.  I indulge in chocolate until I can’t hold any more.",General,,,,
indulge someone with something,to grant someone the favor or privilege of something.,Please indulge me with this one favor.  He always indulged himself with dinner at a nice restaurant when he went into town.,General,,,,
infatuated with someone or something,to be in love with someone or somethingTypically: be ~,She is infatuated with John.  John is infatuated with chocolate ice cream.,General,,,,
infect someone with something, to transmit diseasecausing organisms to someoneSomeone includes oneself.,"Please don’t infect me with your cold germs.  Somehow, she infected herself with the virus she was studying. 2. to affect someone with something, such as excitement, joy, desires, etc.  Her explosive laughter infected everyone with good spirits.",General,,,,
infer something from something,to reach a conclusion from something,What can we infer from the experience we have just had _You should not infer anything from Sue’s remarks.,General,,,,
infested with something,to be contaminated with a swarm or throng of some pestTypically: be ~,All the campers are infested with lice.  The dog is infested with ticks.,General,,,,
inflate something with something, to fill up something with air or some other gas.,Jerry has to inf late all the balloons with helium.  Ken inf lated the balloons with gas. 2. Fig. to make a sum appear larger by including additional irrelevant amounts.  I think that she has inf lated her expense report with too many miles of travel.  Don’t inf late your expense report with extra costs.,Literal,,,,
inflict someone upon someone,to burden someone with the care or keeping of someone elseUpon is formal and less commonly used than on.,"Please don’t inf lict Bob upon me.  My brother inf licted his children on us for the weekend. _Well, I certainly don’t want to inf lict myself on you for the weekend, but I do need a place to stay.",General,,,,
inflict something upon someone or something,"to impose something, such as pain, a burden, a problem, etc., on someone or somethingUpon is formal and less commonly used than on",Please don’t inf lict that on me.,General,,,,
inform on someone,to tell the authorities about someone,I am going to have to inform on you.  Liz informed on Ken to their mother.,General,,,,
inform someone about someone or something,to tell someone about someone or something,Please inform me about the state of the contract for the book.,General,,,,
inform someone of something,to tell someone a fact.,Please inform Sally of my decision.  Sally has been informed of your decision.,General,,,,
inform someone on someone,to tattle on someone to someone.,I will inform the teacher on you!  Billy informed his mother on Bobby.,General,,,,
infringe upon something,to interfere with the rights of someone or with someone’s property rights,,General,,,,
infuse someone with something,to teach someone a body of knowledge or a perspective on a body of knowledge.,The schools sought to infuse the children with a sense of history.  Children should be infused with a respect for the rights of others.,General,,,,
infuse something into someone,to instill specific knowledge into a person,The boss infused a lot of company information into the new assistant before she took another job.  The teacher infused a lot of knowledge into the students in a short time.,General,,,,
infuse something into something,to mix something into something.,You should infuse this mixture into the tea.  The tea was infused into the water very slowly.,General,,,,
infuse something with something,to make something mix into some liquid.,He infused the mixture with a strong solution of soap.  The chemical mixture was infused with the other solution.,General,,,,
ingratiate oneself into something,to work hard to bring oneself into the favor of someone.,"Oh, how he fawns over the guests! Isn’t it terrible the way he tries to ingratiate himself into their favor  You will never succeed in ingratiating yourself into my good graces.",General,,,,
ingratiate oneself with someone,to work oneself into someone’s favor.,Why do you have to ingratiate yourself with everyone Don’t you know how to be just plain friends  She was very obvious in her effort to ingratiate herself with the boss.,General,,,,
inherit something from someone, to receive something from the estate of a person who has died.,I inherited this silver bowl from my aunt.  Liz inherited her house from her parents. 2. to receive a genetic or behavioral trait from a relative.  I inherited my stubbornness from my father’s side of the family.  My dark hair was inherited from my father.,General,,,,
inhibit someone from doing something,to keep someone from doing something,A serious case of shyness inhibited Harry from participating in things.,General,,,,
inhibit something from doing something,to keep something from happening,The weeds were inhibited from spreading by the application of a pesticide.,General,,,,
initiate someone into something," to induct someone into an organization or activity, usually in a ceremony",They initiated all their new members into the club at once. 2. to introduce someone to the activities associated with a job or other situation.  The personnel department will initiate you into our office routines. _Our procedures are com- plicated and it takes weeks to initiate a new employee into all our procedures.,General,,,,
inject something into something," to squirt something, such as oil, water, etc., into something.","The pump injected the oil into the wheel bearings when I squeezed the lever.  The mechanic injected a solvent into the lock. 2. Fig. to put something, such as humor, excitement, etc., into a situation.  Let’s inject a little humor into this dismal affair.  She likes to inject a lot of excitement into her books.",Literal,,,,
ink something in†, to fill in an outline with ink.,"Please ink the drawing in with care. _Ink in the drawing carefully. 2. to write something in ink.  Please ink your name in on the dotted line. _Now, ink in your signature on this line right here.",General,,,,
an inkling about someone or something,an idea about someone or something,I had an inkling about the problems that you were going to run into.,General,,,,
an inkling of something,a hint about something that is to happenTypically: get ~,The speeches gave us an inkling of what we could expect from the new president.,General,,,,
inlay something with something,to decorate something by cutting in a design and filling the cut with some decorative substance.,The workers inlaid the tabletop with bits of polished seashell. _The tabletop was inlaid with a lovely design.,General,,,,
inoculate someone against something,to immunize someone against a disease.,We need to inoculate all the children against whooping cough.  Have you been inoculated against measles,General,,,,
inoculate someone with something,to use a particular substance in immunizing someone against a disease.,Donna inoculated Richard and Nancy with yellow fever vaccine for their trip.  She also inoculated Sam with something to prevent malaria.,General,,,,
inquire about someone or something,to ask about someone or something.,I inquired about Tom and was told that he doesn’t live here anymore. _You will have to inquire about that at the front desk.,General,,,,
inquire after someone,to ask about the well-being of someone,I will inquire after his wife the next time I see him. creature,General,,,,
inquire for someone,to ask to see someone.,"Mr. Franklin, there is a man out here inquiring for you. What shall I tell him  Who is inquiring for me",General,,,,
inquire into something,to look into something,I will inquire into your complaint. It sounds as if something is wrong.  We have not inquired into it yet.,General,,,,
inquire something of someone,to ask some information of someone.,I need to inquire something of you.  May I inquire something personal of you,General,,,,
inquire within,"to ask questions of a person inside some place, such as a store or officeFormulaOn a sign posted outside","If you want to apply, you must inquire within.",General,,,,
the ins and outs of something,the correct and successful way to do something,Jane knows the ins and outs of repairing computers.,General,,,,
inscribe something into something,to write or engrave a dedication on a gift to someoneEmphasis is on the act of inscribing.,"It was a lovely watch. I asked them to inscribe something into the back, so I could remember the occasion.  My initials were inscribed into the wristband.",General,,,,
inscribe something onto something,to write or engrave certain information on somethingEmphasis is on the message that is inscribed.,The jeweler inscribed Amy’s good wishes onto the watch.  I inscribed my name on my tools.,General,,,,
inscribe something with something,to engrave something with a message.,Could you please inscribe this trophy with the information on this sheet of paper  I inscribed the bracelet with her name.,General,,,,
insert something between something and something else,to put something in between things.,Insert this marker between pages ten and eleven.  A marker was inserted between the pages.,General,,,,
insert something into something,to push or stick something into something.,Insert the card into the slot and pull the lever.  Insert the coins in the machine.  I need to insert another paragraph into this article.,General,,,,
inside a week,in less than a week,,General,,,,
inside information,information known only by those most involved with the issue,,General,,,,
an inside job,a crime committed by someone working or living at the scene of the crime.,"There was little doubt that it was an inside job, thought the inspector. _It’s a particularly cunning way to carry out an inside job.",General,,,,
an inside joke,a joke that only certain people understand,What you said must be an inside joke. It makes no sense to me.,General,,,,
the inside story,an explanation known only by those most involved with the issue,,General,,,,
the inside track," an advantage over someone gained through special connections, special knowledge, or favoritismTypically: get ~","If I could get the inside track, I could win the contract. _The boss likes me. Since I’ve got the inside track, I’ll probably be the new office manager.",Figurative,,,,
insinuate oneself into something,to work oneself into a group or situation.,She had sought for years to insinuate herself into Terry’s organization.  Must you always insinuate yourself into my set of friends,General,,,,
insinuate something to someone,to hint at something to someone,You think I am interested in you for your money! Is that what you are insinuating to me  I did not insinuate anything to you!,General,,,,
insist upon something,to demand somethingUpon is formal and less commonly used than on.,I want you here now! We all insist upon it!  I insist on it too.,General,,,,
inspire someone with something,to use something to inspire someone,The president inspired us all with patriotic speeches.  She inspired us all with her story of heroism.,General,,,,
inspire something in someone,to stimulate a particular quality in someone,She inspires fear in me.,General,,,,
install someone as something,to inaugurate or launch someone into the role of something,,General,,,,
install something in someone or something,to insert or build something into someone or something,The doctors installed a pacemaker in Donald.,General,,,,
instigate someone to do something,to prompt someone to do something,Did you instigate the children to do this,General,,,,
instill someone with something,to imbue or impress someone with something.,Her story instilled us all with courage.  She instilled us with courage.,General,,,,
instill something into someone,to impress something into someone’s mind.,You need to remember your manners. I want to instill that into you.  Good manners were instilled in me at home.,General,,,,
instill something into something,to add something to a situation,Sharon sought to instill a little levity in the meeting.,General,,,,
institute something against someone or something,to initiate something against someone or something.,The hospital decided to institute proceedings against her for failing to pay her bill. _The prosecutor instituted a case against the county board.,General,,,,
instruct someone in something,to teach someone about something.,Amy will instruct you in the way to hang paper.  The manager instructed Ken in the best method of entering data into the computer.,General,,,,
instrumental in doing something,playing an important part in doing something.,John was instrumental in getting the contract to build the new building.  Our senator was instrumental in defeating the bill.,General,,,,
insure against something,to guard or protect against something.,You must insure against theft and fire.  I will insure against all risks.,General,,,,
insure someone or something against something for something,to provide insurance for someone or something against certain perils up to a certain amount of money.,"I insured my wife against accidental death for 100,000. _We insured the car for its current value against all losses.",General,,,,
insure someone or something with something,to provide insurance for someone or something from a specific company.,I insured Amy with a fine old insurance company.  We insured the car with Acme Insurance in Adamsville.,General,,,,
integrate someone or something into something,to combine someone or something into something,We sought to integrate Amy into the everyday affairs of the company. _We sought to integrate the new family into the ways of the community.,General,,,,
integrate someone with someone,to mix people together,They integrated themselves with the people already in attendance.,General,,,,
integrate something with something,to merge things together,I want to integrate the accounting department with the auditing department to save a little money. _They integrated your department with mine.,General,,,,
intend something as something,to mean something to serve as something.,We intend this money as a gift. Do not even think about paying it back.  This money is intended as a gift.,General,,,,
intend something for someone or something,to mean for someone or something to get something,"Aunt Em intended this cake for the county fair, but you can have it instead.",General,,,,
intent on doing something,determined to do something.,The children were intent on making a snowman.  The prisoner was intent on escaping.,General,,,,
inter someone in something,to bury someone in something or in some place.,They chose to inter her in the family burial plot.  She was interred in the vault with the rest of the family.,General,,,,
interact with someone,to converse with and exchange ideas with someone.,"In act two, I want Terri to interact with Amy a little more. They act as if they never even met each other.  The students will interact with one another in their study projects.",General,,,,
interact with something,to have a reciprocal action with something,Will this drug interact with coffee _This drug will not interact with your current medication.,General,,,,
intercede for someone with someone or something,to intervene on behalf of someone with someone or a group,"Tom interceded with Fred for Sharon, who was too shy to speak for herself.",General,,,,
interchange someone with someone else,to exchange one person for another.,I interchanged Sally with Roger for the honor of being first speaker.  Roger has been interchanged with Sally.,General,,,,
interchange something with something,to exchange one thing for another,The orange one has been interchanged with the red one.,General,,,,
interest someone in someone or something,to arouse the interest of someone in someone or something,Can I interest you in checking out a book from the library,General,,,,
interest someone in something,to cause someone to wish to purchase something.,Could I interest you in something with a little more style to it  Can I interest you in some additional insurance on your life,General,,,,
interface someone or something with someone or something,"to bring about a complex connection of people and things, in any combinationOriginally having to do with computers.","Let’s interface Walter with the staff from the main office.  I want to interface my data with Sam, who has some relevant statistics from prior years.",General,,,,
interface with someone or something,to develop a connection or interaction with someone or something,,General,,,,
interfere in something,to meddle in something,Don’t interfere in my business!  Are you interfering in this matter again,General,,,,
interfere with someone or something,to meddle with something or someone’s affairs.,Please do not interfere with us.  Are you interfering with my project,General,,,,
interject someone into something,"to force someone into something, usually into someone else’s business.","I am going to have to interject Fred into this matter before it gets out of hand.  I hate to interject myself into your affairs, but I have something to say.",General,,,,
interject something into something,to volunteer information or a comment into a conversation.,"We can always count on Liz to interject something sensible into our discussions. _At last, something sensible has been interjected into our discussions.",General,,,,
interlace something with something,to weave something into something else.,I will interlace some silver thread with the white yarn.  The manufacturer had interlaced a silver thread into the yarn.,General,,,,
intermarry with someone,"for members of a group to marry into another group, race, or clan.",Our people don’t intermarry with people of that clan.  They do not intermarry with other groups on purpose.,General,,,,
intermingle something with something,to mingle or merge things with things,The office mail had been intermingled with the regular mail!,General,,,,
intermingle with someone,to mingle or merge with people.,The mugger intermingled with the people on the street and could not be recognized. _Let’s intermingle with the guests.,General,,,,
intern someone in something,to detain or imprison a person in something.,The government interned the enemy prisoners in the camps for a few months. _He was interned in a prison camp during the war.,General,,,,
interpose someone or something between people or things,"to put someone or something between people or things, in any combination.",I do not wish to interpose Randy between the twins.  We will not interpose our own standards between these two warring factions.,General,,,,
interpose something into something,to introduce something into something,The chairman interposed a question into the discussion.  May I interpose an observation in the proceedings,General,,,,
interpret for someone,to translate speech in a foreign language for someoneInterpreting is done in real time.,"Nina interpreted for Michael, since he understood very little Russian.  Is there someone who can interpret for me",General,,,,
interpret something as something,to assume that something means something,It will be interpreted as criticism no matter what you say.,General,,,,
interpret something for someone, to translate a foreign language for someoneInterpreting is done in real time.,Could you interpret the ambassador’s address for me  Nina interpreted the director’s greetings for the visitors. 2. to explain something unclear to someone. _Let me interpret the instructions for you. _The instructions have been interpreted for me by the manager.,General,,,,
intersperse something among something,to place something among things at random.,We interspersed a few chocolate doughnuts among all the plain ones. _Some chocolate ones had been interspersed among the plain ones.,General,,,,
intersperse something between something,"to place things between other things, perhaps regularly or in a pattern.",We interspersed an onion plant between each pair of plants.  Onions had been interspersed between every two marigold plants.,General,,,,
intersperse something throughout something,to put things throughout something.,He interspersed recommendations for a better life throughout the book.  Good advice had been interspersed throughout the book.,General,,,,
intersperse something with something,to provide or bestow something with something.,You should intersperse some red f lowers with the orange ones.  The book was interspersed with good advice.,General,,,,
intertwine something with something,to mingle or twist something together with something else.,"She intertwined the f lowers with the sprigs of greenery, making a lovely wreath.  The f lowers were intertwined with sprigs of greenery.",General,,,,
intertwine with something,to twist together with something else.,"The vines intertwined with the ropes and cables that had once held the beached raft together.  The cables from the two cranes intertwined with each other, causing a serious accident.",General,,,,
intervene between someone and someone else,to intercede between someone and someone else.,"I decided to intervene between Ralph and his brother, who were arguing endlessly.  There was no point in intervening between Bill and Bob.",General,,,,
intervene in something,to get involved in something.,I will have to intervene in this matter. It’s getting out of hand. _I want to intervene in this before it becomes a major problem.,General,,,,
intervene with someone or something,to step into a matter concerning someone or something.,Megan said she would intervene with the bank manager on our behalf.  Do I need to intervene with this process,General,,,,
interview someone for something,for an employer to discuss employment in a particular job with a person seeking employment,We will interview the rest of them for the position tomorrow.,General,,,,
interview with someone for something,for a person seeking employment to discuss employment in a particular job with an employer.,She interviewed with the civic opera company for a job in the business department.  I interviewed with Roger for the job.,General,,,,
intimate apparel,Euphwomen’s underwear.,"“You’ll find bras and body shapers in the intimate apparel,” said the salesclerk at the department store.  The catalog features intimate apparel for the grande dame.",General,,,,
intimate something to someone,to suggest or imply something to someone.,What are you intimating to me  I intimated nothing at all to you.,General,,,,
intimate with someone,Euphhaving sexual intercourse with someoneTypically: be ~,He had never been intimate with a woman before.  They were intimate with each other for the first time that night.,General,,,,
intimidate someone into something,to threaten or frighten someone into doing something.,Do you think you can intimidate me into working for you  We weren’t intimidated into doing it.,General,,,,
intimidate someone with something,to threaten or frighten someone with something.,Please don’t try to intimidate me with your silly threats!  We hadn’t been intimidated with their threats.,General,,,,
into a jam, into a difficult situation,,Figurative,,,,
into being,into existence.,The new law brought more problems into being. _That idea came into being centuries ago.,General,,,,
into someone’s clutches, in the control of someone who has power or authority over someone else.,"Snow White fell into the clutches of the evil witch.  Once you’re in my clutches, I’ll ruin you.",Figurative,,,,
intoxicate someone with someone or something, to enthrall or entrance someone with someone or something ,"The king intoxicated the dignitaries with his beautiful daughter, whom he offered in marriage to the bravest of them all.",Figurative,,,,
intoxicate someone with something,to make someone drunk with alcohol.,I think that the plaintiff set out to intoxicate the defendant with liquor and then fake a crime.  Jed set out to intoxicate Max with gin and then rob him.  Alice intoxicated herself with too much whiskey.,General,,,,
intrigue someone with someone or something,to fascinate someone with someone or something,,General,,,,
intrigue with someone against someone,to conspire with someone against someone.,You are guilty of intriguing with an enemy against the government.  I did not intrigue against anyone.,General,,,,
introduce someone into something,to bring someone into something,"Tony introduced Wally into his club.  You do not wish me to introduce myself into local social life, do you",General,,,,
introduce someone to someone,to make someone acquainted with someone else,,General,,,,
introduce something into something,to bring something into something or some place,"The decorator introduced a little bit of bright red into the conference room.  After I introduced the new procedures into the factory, production increased enormously.",General,,,,
intrude into something,to get involved in something that is someone else’s business.,"I don’t want to intrude into your affairs, but I see that you’re short of money.  Please don’t intrude into this matter.",General,,,,
intrude oneself into something,to work oneself into some matter that is someone else’s business.,"I hate to intrude myself into your conversation, but don’t I know you  Please do not intrude yourself into this matter.",General,,,,
intrude upon someone or something,to encroach on someone or something or matters that concern only someone or somethingUpon is formal and less commonly used than on.,I didn’t mean to intrude upon you.  Please don’t intrude on our meeting. Please wait outside.,General,,,,
inundate someone or something with something, to flood someone or something with fluid,They inundated us with mail.  The children inundated us with requests for their favorite songs. _The citizens inundated the legislature with demands for jobs.,Literal,,,,
inure someone or something to something,to accustom someone to someone or something.,"We wanted to inure you to this kind of problem, but here it is and you must face it. _The coach inured the team to the thought of losing. _She had long ago inured herself to criticism of this type.",General,,,,
invasion of someone’s privacy, an intrusion that results in the loss of someone’s privacy.,Your invasion of my privacy is not welcome!  The athlete complained about the invasion of his privacy by the press.,Figurative,,,,
inveigh against someone or something,to attack someone or something verbally.,Why must you always inveigh against Dan whenever I mention his name _Stop inveighing against the government all the time.,General,,,,
inveigle someone into something,to coax or trick someone into doing something.,"We tried to inveigle her into attending, but she caught on to us.  I was inveigled into doing it.",General,,,,
inveigle someone out of something,to deceive someone into giving something up.,Are you trying to inveigle me out of my money  I was inveigled out of my money by a common thief.,General,,,,
inveigle something out of someone,"to get something away from someone, usually by deception or persuasion.",They inveigled a large donation out of Mrs. Smith.  The crooks tried to inveigle a fortune out of the old lady.,General,,,,
invest in someone or something,to put resources into someone or something in hopes of increasing the value of the person or thingThe emphasis is on the act of investing,She invested in junk bonds heavily.,General,,,,
invest someone’s time in something," to put one’s time, effort, or energy into a project.",Mary invests her time in charity work.  I invested five weeks of my time building this model ship.,Figurative,,,,
invest someone with something,"to endow someone with something, such as power or privilege",The state has invested me with the authority to unite this couple in marriage.,General,,,,
invest something in someone or something," to put money, time, effort, etc., into someone or something, hoping for a return",The law invests the power to arrest criminals in the sheriff ’s department.,General,,,,
invite someone out†,to ask someone out on a date.,"I would love to invite you out sometime. If I did, would you go  Has he ever invited out a girl on a date",General,,,,
invite someone over† for something,"to bid or request someone to come to one’s house for something, such as a meal, party, chat, cards, etc.",Let’s invite Tony and Nick over for dinner.  Let’s invite over some new people.,General,,,,
invite someone to something,to bid or request someone to come to an event.,Shall we invite Sally to the party  I didn’t invite her. She invited herself to this affair.,General,,,,
invoke something upon someone or something,"to call something, such as judgment, power, wrath of God, etc., to deal with someone or somethingUpon is formal and less commonly used than on.","The duke invoked the wrath of God upon his enemies—to no avail.  Walter invoked divine assistance on the proceedings, which weren’t going very well.",General,,,,
involve someone in something,to draw someone into a matter or problem.,Please don’t involve me in this mess.  I do not wish to involve myself in Alice’s business. _I didn’t want to involve you in the problem we are having with the police.,General,,,,
involve someone with someone or something, to cause someone to associate with someone or something.,"Don’t try to involve me with John. I can’t stand him.  We will try to involve all the teachers with the new association.  I will not involve myself with such goings-on. 2. to connect someone or someone’s name to activity often wrongdoing associated with someone or something.  Don’t try to involve Amy with the crime. She is innocent.  We involved the committee with the intense lobbying effort, and everyone began to see the extent of its inf luence.",General,,,,
involved with someone, associated with someone romanticallyTypically: be ~,"Sally is getting involved with Bill. They’ve been seeing a lot of each other.  I hope they don’t get too involved with each other. 2. having established a romantic association with something. Typically: be ~; get ~. _Bill is involved with Jane, and it’s looking serious. _Mary is very much involved with Tom.",General,,,,
