Idiom,Meaning,Examples,Type,,,,
as I was saying,to repeat what I’ve been saying,"Bill: Now, Mary, this is one of the round ones that attaches to the wire here. Bob passing through the room: Hello, you two! I’ll talk to you later. Bill: Yeah, see you around. Now, as I was saying, Mary, this goes here on this wire.  Tom: I hate to interrupt, but someone’s car is being broken into down on the street. Fred: As I was saying, these illegal practices must stop.",General,,,,
like I was saying,to repeat what I’ve been saying,"Bill: Now, Mary, this is one of the round ones that attaches to the wire here. Bob passing through the room: Hello, you two! I’ll talk to you later. Bill: Yeah, see you around. Now, as I was saying, Mary, this goes here on this wire.  Tom: I hate to interrupt, but someone’s car is being broken into down on the street. Fred: As I was saying, these illegal practices must stop.",General,,,,
as we speak,Cliché just now,"“I’m sorry, sir,” consoled the agent at the gate, “the plane is taking off as we speak.”  Tom: Waiter, where is my steak It’s taking a long time. Waiter: It is being grilled even as we speak, sir—just as you requested.",General,,,,
even as we speak,Cliché just now,"“I’m sorry, sir,” consoled the agent at the gate, “the plane is taking off as we speak.”  Tom: Waiter, where is my steak It’s taking a long time. Waiter: It is being grilled even as we speak, sir—just as you requested.",General,,,,
"As you make your bed, so you must lie upon it.", You have to suffer the consequences of what you doOften used as a rebuke.,"Tom insisted on taking a trip to Florida in August, after we all told him how hot it was then. Now that he’s there, all he does is complain about the heat. As you make your bed, so you must lie upon it.  You were the one who chose these house painters because they were cheap. I told you they’d do a terrible job. As you make your bed, so must you lie in it.",General,,,,
"As you make your bed, so you must lie in it.", You have to suffer the consequences of what you doOften used as a rebuke.,"Tom insisted on taking a trip to Florida in August, after we all told him how hot it was then. Now that he’s there, all he does is complain about the heat. As you make your bed, so you must lie upon it.  You were the one who chose these house painters because they were cheap. I told you they’d do a terrible job. As you make your bed, so must you lie in it.",General,,,,
"As you make your bed, so must you lie in it.", You have to suffer the consequences of what you doOften used as a rebuke.,"Tom insisted on taking a trip to Florida in August, after we all told him how hot it was then. Now that he’s there, all he does is complain about the heat. As you make your bed, so you must lie upon it.  You were the one who chose these house painters because they were cheap. I told you they’d do a terrible job. As you make your bed, so must you lie in it.",General,,,,
"As you sow, so shall you reap."," Things will happen to you good or bad, according to how you behaveBiblical.","You should stop being so cruel to other people. As you sow, so shall you reap.  Fred built an immense fortune by swindling others, but lost it all when someone swindled him. As a man sows, so shall he reap.",General,,,,
"As a man sows, so shall he reap."," Things will happen to you good or bad, according to how you behaveBiblical.","You should stop being so cruel to other people. As you sow, so shall you reap.  Fred built an immense fortune by swindling others, but lost it all when someone swindled him. As a man sows, so shall he reap.",General,,,,
ask around about someone or something,to request information about someone or something from a number of different sources.,"I don’t know the answer. I’ll ask around about it.  Ask about, will you Find out what people are thinking.  Please ask around about her.",General,,,,
